"Phase","Owner","Action","Required evidence","Status"
"Preflight","Engineering","Run full release verification","Native, MCP, and site checks pass","Complete"
"Preflight","Security","Review secret scan, dependencies, MCP permissions, and rights manifest","No unresolved critical finding","Complete"
"Apple","Publisher","Add Developer ID Application certificate and notary profile","codesign, notarytool, stapler, and spctl pass","Account-gated — no identity or notary profile present"
"Distribution","Engineering","Publish GitHub prerelease and checksums","Release URL and verified SHA256SUMS","Live"
"Distribution","Engineering","Publish project Homebrew tap and cask","Tap repository, real checksum, nested app and CLI paths","Live; syntax checked, clean-machine brew test unavailable here"
"Website","Engineering","Deploy public site and verify downloads/trust routes","Production URL, HTTP checks, desktop/mobile render","Live and verified"
"Community","Founder","Open GitHub Discussions announcement","Known limitations, Homebrew, release, and support links","Live"
"Community","Founder","Post rules-compliant r/MacApps launch","No vote ask; transparent alpha/signing status","Account-gated — copy ready"
"Technical","Founder","Publish Show HN post and remain present","Working download and source; founder replies","Account-gated — copy ready"
"Media","Founder","Send individualized Mac-publication pitches","Tailored note and review kit","Ready; requires recipient selection and sender account"
"Creator","Partnerships","Contact rights-clear ambient creators","Compatibility request, no endorsement pressure","Ready; requires creator selection and sender account"
"AI local","Engineering","Package local stdio/MCPB distribution","Valid MCPB, release asset, 9/9 contract tests","Live on GitHub release"
"AI hosted","Engineering","Deploy authenticated reviewer MCP","Health, 401 boundary, initialize, and tools/list","Live and verified"
"AI registry","Publisher","Publish MCP Registry metadata","Public npm package or submission identity plus production auth","Account-gated — metadata ready"
"OpenAI","Publisher","Verify organization and submit production MCP","OAuth 2.1, live trust URLs, evals, publisher console","Account/OAuth-gated"
"Anthropic","Publisher","Submit local MCPB listing","Directory interest/submission account and clean install evidence","Account-gated — MCPB ready"
"Microsoft","Publisher","Begin MCP certification in Partner Center","Verified publisher, program enrollment, OAuth/package","Account-gated"
"Google","Publisher","Evaluate Cloud Marketplace A2A offer","Vendor onboarding, A2A Agent Card, commercial integration","Deferred — materially different enterprise product"
"Launch week","Support","Check download, crash, restore, security, and rights reports daily","Daily health note; two-business-day acknowledgement","Active"
"Launch week","Engineering","Patch stop-ship regressions immediately","Root cause, regression test, refreshed artifact","Active"
