"Days","Workstream","Key deliverables","Operating target","Primary metric"
"1","Build complete","Native Mac app; ambientctl; local MCP; public site; trust pages; tests; release scripts","All local builds and automated checks pass","Build pass rate"
"2","Open-source launch","Public GitHub repository; source archive; unsigned alpha clearly labeled; checksums; SBOM; Discussions; issue templates","Self-serve source install works without founder help","Successful source installs"
"3","Publisher-ready distribution","Developer ID signing/notarization runbook; immutable release asset; Homebrew cask template; marketplace packages","Publish signed artifact immediately when Apple credentials are supplied","Gatekeeper pass rate"
"4-7","Launch reliability","Triage public reports; sleep/wake and display matrix; exact restore; diagnostic export; accessibility fixes","No known black-screen path without still fallback; reports acknowledged within two business days","Crash-free sessions"
"8-14","Power and control proof","Published energy method; local Claude/MCP package; positive and negative AI tool evals; Aerial compatibility outreach","Paused state performs no media decode; persistent mutations require confirmation","Power-policy trust"
"15-21","Activation improvements","Progressive import; smart channels; Now/Next/Why polish; onboarding fixes; first rights-clear recipes","Median first wallpaper under five minutes; activation >=60%","Activation rate"
"22-30","Retention sprint","Focus/time/power/display rules; weekly releases; creator attribution; opt-in coarse analytics","Activated-user D7 >=30%; crash-free sessions >=99%","D7 retention"
"31-37","Mac community launch","Rules-compliant r/MacApps post; support cadence; project-owned Homebrew tap after notarization","250 cumulative activated users; no critical security or rights issue","Activated users"
"38-45","Technical launch","Show HN; architecture and energy article; MCP Registry security gate; recipe export","Two external contributors; ten shared recipes","Contributor and share rate"
"46-53","Creator loop","Two creator-owned channel pilots; referral pages; permanent attribution; Aerial ecosystem feedback","Two live rights-clear creator channels","Partner activations"
"54-60","Broader launch","Individual Mac-media pitches; Product Hunt if onboarding remains stable; top regression fixes","Activated-user D7 >=35%; crash-free sessions >=99.5%","D7 and reliability"
"61-68","Hosted bridge","Authenticated outbound device relay; revoke/delete flow; production HTTPS /mcp; observability","Online command success >=99%; p95 acknowledgement <5 seconds","Remote command success"
"69-75","OpenAI readiness","Production endpoint in Developer Mode; verified domain/publisher; five positive and three negative evals; review-safe account","All required submission fields and trust URLs validated","Submission blocker count"
"76-82","Marketplace submissions","OpenAI submission; Anthropic local listing; MCP Registry publish; Microsoft certification preparation","Every listing accurately requires the Mac companion","Qualified installs by source"
"83-90","Scale what converts","Fix review feedback; expand the highest-retention channel; publish metrics and roadmap; maintain weekly releases","D30 activated retention >=20%; no unresolved critical issue","D30 retention"
