"Priority","Channel","What it distributes","Artifact","Prerequisites","Key review or hosting requirements","Launch gate","Initial status","Official source"
"P0","Direct macOS distribution","The native product","Developer ID-signed universal .app in notarized .dmg","Apple Developer Program; Developer ID certificates; publisher identity","Hardened runtime; notarization; stapled ticket; signed updater; tested install, repair, update, and uninstall","Crash-free sessions >=99%; exact restore and Gatekeeper verification pass","Not started","https://developer.apple.com/macos/distribution/"
"P0","GitHub Releases","Immutable open-source source and binaries","Tagged source, notarized DMG, checksums, SBOM, signatures, release notes","Public GitHub organization/repository and release-signing policy","Protected release workflow; immutable artifact; support and security policies","CI green; artifact notarized and independently verified","Not started","https://docs.github.com/en/repositories/releasing-projects-on-github/managing-releases-in-a-repository"
"P0","First-party Homebrew tap","High-intent Mac install path","Cask referencing the notarized DMG","Public GitHub tap and canonical stable download","Immutable version and SHA-256; complete install/uninstall; must not bypass Gatekeeper or SIP","Direct artifact stable; install/uninstall audit passes","Not started","https://docs.brew.sh/How-to-Create-and-Maintain-a-Tap"
"P0","Local MCP package","Local AI control without a cloud account","Versioned stdio MCP package plus setup manifests","Stable local IPC contract and signed Mac app","No arbitrary file/shell/URL tools; explicit annotations; local authorization boundary; retry-safe commands","Tool contract stable; security review and local end-to-end tests pass","Not started","https://modelcontextprotocol.io/docs/getting-started/intro"
"P1","Anthropic MCPB desktop extension","Reviewed local Claude control surface",".mcpb bundle with local stdio server and manifest","Submission form; packaged dependencies; public privacy/support documentation","Local/offline execution; no OAuth inside MCPB; functional, privacy, and security review","Local MCP stable; companion install and five-minute activation proven","Not started","https://claude.com/docs/connectors/building/mcpb"
"P1","Official MCP Registry","Portable server metadata for downstream directories","server.json plus public package, MCPB, remote service, or supported artifact","Publicly installable artifact; namespace ownership through GitHub, DNS, or HTTP","Validate and publish with mcp-publisher; Registry is preview and version metadata is immutable; currently no delete/unpublish flow","Security review complete; package/version contract stable","Not started","https://modelcontextprotocol.io/registry/quickstart"
"P1","OpenAI universal Plugins Directory","Public ChatGPT and Codex discovery/control surface","MCP-backed plugin; optional skills; tool-only UI initially","Verified developer/business identity; Platform organization with Apps Management write access","Stable public HTTPS Streamable HTTP MCP endpoint; OAuth where private; domain verification; exact CSP; every tool annotated; 5 positive and 3 negative tests; privacy, terms, support, and demo credentials","Remote command success >=99%; p95 ack <5s; review-safe demo account; complete trust pages","Not started","https://developers.openai.com/plugins/deploy/submission"
"P1","Anthropic Connectors Directory — remote","Public remote Claude connector","Public remote MCP server; optional MCP App UI","Qualifying Claude Team/Enterprise organization and directory management access","HTTPS Streamable HTTP or SSE; OAuth 2.0; tool titles/safety annotations; docs, privacy policy, test account, security and functional review","Remote MCP production-ready and local companion requirement clearly disclosed","Not started","https://claude.com/docs/connectors/building/submission"
"P1","Anthropic Plugin Directory","Claude workflow and skill package around the MCP","Public GitHub-hosted Claude plugin","Public repository and qualifying Claude organization/Console access","claude plugin validate; automated screening and review; repository-mirrored updates","Core workflows stable; plugin adds real orchestration value rather than media generation","Not started","https://claude.com/docs/plugins/submit"
"P1","Mac App Store","Sandboxed public-API edition and Apple discovery","Sandboxed Mac app uploaded through App Store Connect","Apple Developer Program; App Store Connect app record, agreements, privacy metadata","Public APIs only; App Sandbox; no independent updater; meaningful differentiation under Guideline 4.3(b); review of resource use","Static/public-API spike works inside sandbox; no private framework dependency; review package complete","Deferred","https://developer.apple.com/app-store/review/guidelines/"
"P2","Official Homebrew Cask","Official Homebrew installation","PR to homebrew-cask","Public interest beyond the author; for owner self-submission normally >=225 stars or >=90 forks/watchers; repository normally >=30 days old","Canonical verifiable binary; latest macOS compatibility; Gatekeeper intact; audit and maintainer review","Age/notability threshold and authentic external demand met","Deferred","https://docs.brew.sh/Package-Acceptance-Policy"
"P2","Microsoft-certified MCP server","Enterprise Microsoft discovery and governed deployment","Public MCP endpoint plus Microsoft 365/Teams manifest and tools metadata","Verified Partner Center publisher; Microsoft 365/Copilot program enrollment; endpoint control","Automated validation plus functional, safety, security, compliance, and manual review; review auth/test configuration","At least three qualified enterprise requests and production support capability","Deferred","https://learn.microsoft.com/en-us/microsoft-copilot-studio/mcp-certification"
"P2","Microsoft 365 Copilot Agent Store","Enterprise agent experience backed by the MCP","Declarative or custom-engine agent packaged as a Microsoft 365 app","Partner Center, Entra tenant, verified publisher, Microsoft 365/Copilot program","Commercial Marketplace certification, responsible-AI validation, tenant-admin enablement","Clear workplace/fleet use case with buyer and admin demand","Deferred","https://learn.microsoft.com/en-us/microsoft-365/copilot/extensibility/publish"
"P3","VS Code Marketplace","Developer-focused configuration/control wrapper","VSIX extension that registers/configures the MCP","Azure DevOps Marketplace publisher","Package/policy review; secure publishing identity and ongoing extension maintenance","Developers are a retained segment; config snippets no longer meet the need","Deferred","https://code.visualstudio.com/api/working-with-extensions/publishing-extension"
"P3","Gemini Spark custom MCP","Manual compatibility, not a public marketplace listing","Remote MCP URL and user configuration guide","Eligible Gemini user and production remote MCP","Third-party manual connection; supported auth/configuration; no documented public consumer submission directory","Remote MCP exists and support burden is justified","Deferred","https://support.google.com/gemini/answer/17209137"
"P3","Google Cloud Marketplace AI Agents","Enterprise procurement for Gemini Enterprise","Hosted A2A Agent-as-a-Service and Agent Card","Incorporated supported-region vendor; Google Cloud Partner Network and Marketplace approval","Hosted on Google Cloud; A2A; production security; account linking; pricing/listing validation; enterprise-admin enablement","Validated enterprise ambient-display/fleet use case and Google Cloud operating capacity","Deferred","https://docs.cloud.google.com/marketplace/docs/partners/ai-agents"
"P3","Google Workspace Marketplace","Workspace-specific calendar/content workflow only","Workspace add-on","Google Cloud project, Marketplace SDK, OAuth consent and verification","Listing review; privacy/support; test account; restricted scopes may require security assessment","A genuine Workspace workflow exists; no vanity wrapper","Deferred","https://developers.google.com/workspace/marketplace/how-to-publish"
